Year	Link	EID
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085881835&doi=10.1016%2fj.mehy.2020.109848&partnerID=40&md5=d211684a921a9873cf826ea91901d508	2-s2.0-85085881835
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086099330&doi=10.1016%2fj.mehy.2020.109959&partnerID=40&md5=fad9051f2ee88a17c0e55e4ced610108	2-s2.0-85086099330
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086469271&doi=10.1016%2fj.meegid.2020.104422&partnerID=40&md5=082a57f31cdbf2031ede74a173723317	2-s2.0-85086469271
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086175715&doi=10.1016%2fj.mehy.2020.109874&partnerID=40&md5=6edfb9d5ea08136189f7797fab405a41	2-s2.0-85086175715
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086155570&doi=10.1016%2fj.mehy.2020.109974&partnerID=40&md5=99713184d5088ab071f52a66e2afae00	2-s2.0-85086155570
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085397529&doi=10.1016%2fj.resmer.2020.100758&partnerID=40&md5=a3e9e053bcbea26e5d08a5da131fae45	2-s2.0-85085397529
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085374318&doi=10.1016%2fj.resmer.2020.100759&partnerID=40&md5=f0e18ee3db6fd5fbb3a886988f2e0ff2	2-s2.0-85085374318
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085977122&doi=10.1016%2fj.mehy.2020.109918&partnerID=40&md5=55217bb6d16092d3ab8e138fa02c6acd	2-s2.0-85085977122
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085770410&doi=10.1016%2fj.mehy.2020.109934&partnerID=40&md5=9b31edb4fa94320c3030f441bcb6f144	2-s2.0-85085770410
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086381098&doi=10.1016%2fj.mehy.2020.109905&partnerID=40&md5=d88f16d111b24cc0bf973f46895cfce0	2-s2.0-85086381098
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086445363&doi=10.1016%2fj.mehy.2020.109987&partnerID=40&md5=b141384b2c26504d463886f7265794e1	2-s2.0-85086445363
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086388187&doi=10.1016%2fj.scitotenv.2020.140122&partnerID=40&md5=e5eb2c07404919a073dd9a240267b08d	2-s2.0-85086388187
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086314909&doi=10.1016%2fj.scitotenv.2020.140112&partnerID=40&md5=869a9fe866c973bffb85d2f5b57dbadd	2-s2.0-85086314909
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086385303&doi=10.1016%2fj.scitotenv.2020.140207&partnerID=40&md5=1ed34d9785f16b8787a1ba034aaed8a1	2-s2.0-85086385303
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086388664&doi=10.1016%2fj.scitotenv.2020.140093&partnerID=40&md5=10093aeb75902670a984ae4ee1bf4fce	2-s2.0-85086388664
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086360370&doi=10.1016%2fj.scitotenv.2020.140123&partnerID=40&md5=b7b90fafafaea14c2dee5158a22e3aa9	2-s2.0-85086360370
